Unnamed: 0,國文,英文,數學,社會,自然
0,14,8,10,6,10
1,13,13,14,13,13
2,11,12,6,7,9
3,7,6,14,14,8
4,11,8,7,6,9
5,15,11,12,15,11
6,15,9,7,7,13
7,11,13,8,14,12
8,13,15,9,14,14
9,14,8,14,9,9
10,14,15,8,9,6
11,11,9,8,7,7
12,10,15,10,7,7
13,6,9,14,13,13
14,12,9,6,15,10
15,6,6,10,15,14
16,12,11,14,6,6
17,9,15,11,13,10
18,15,14,15,8,7
19,11,10,10,9,11
20,6,7,6,12,7
21,15,9,13,12,12
22,9,13,14,11,6
23,10,13,8,7,15
24,6,8,6,14,13
25,7,7,12,14,13
26,7,8,10,13,14
27,14,15,14,14,12
28,13,10,11,11,6
29,9,11,15,6,14
30,6,12,11,13,8
31,15,10,8,7,15
32,7,12,15,10,13
33,11,6,8,12,9
34,11,10,12,9,8
35,12,12,13,14,11
36,15,10,6,13,14
37,13,6,12,7,14
38,15,11,9,10,11
39,11,11,15,14,8
40,11,6,13,7,15
41,14,11,11,15,9
42,9,6,13,10,10
43,7,14,6,11,13
44,12,15,8,10,15
45,9,8,7,14,11
46,14,13,15,11,10
47,6,12,11,9,11
48,12,11,9,7,13
49,8,13,15,11,13
50,12,6,13,14,15
51,15,13,12,13,9
52,8,13,7,15,15
53,12,8,10,10,15
54,11,9,9,15,7
55,6,12,8,11,13
56,7,10,12,13,6
57,11,6,8,12,8
58,14,8,6,15,10
59,15,10,9,14,11
60,13,10,7,8,15
61,15,13,14,10,12
62,10,9,9,12,15
63,13,13,11,15,6
64,12,10,8,13,14
65,13,6,13,15,10
66,14,7,11,9,7
67,6,8,8,9,10
68,11,14,7,6,14
69,15,10,13,7,14
70,6,7,6,7,7
71,8,9,8,13,9
72,14,15,13,8,6
73,15,9,10,9,11
74,6,7,13,6,12
75,9,12,15,11,13
76,7,6,6,13,7
77,14,14,14,9,7
78,6,10,11,9,13
79,15,14,8,14,10
80,14,13,14,6,14
81,10,14,8,12,7
82,11,9,11,11,14
83,6,8,11,9,7
84,8,9,13,13,6
85,6,9,9,15,15
86,6,15,10,8,15
87,9,8,13,11,13
88,14,9,7,10,11
89,7,6,6,14,12
90,13,6,15,8,11
91,9,15,13,6,15
92,7,9,6,10,14
93,9,8,14,13,8
94,12,8,10,9,7
95,10,10,9,11,15
96,6,9,13,7,6
97,9,10,8,8,11
98,10,13,6,9,10
99,7,13,14,7,15
