國文,英文,數學,社會,自然
8,13,13,10,14
14,6,10,13,13
15,14,12,13,10
7,11,6,9,9
11,13,15,8,6
15,12,12,10,12
12,13,10,10,9
15,7,10,12,13
8,9,12,12,14
12,6,11,8,12
6,10,12,14,10
13,9,6,12,8
10,7,6,8,8
15,14,9,6,8
13,9,9,9,9
10,14,7,14,14
13,10,11,8,7
13,6,13,11,7
8,14,8,7,13
12,11,12,15,13
10,15,7,11,7
15,14,14,12,7
8,10,12,10,10
11,13,14,9,15
6,10,6,6,11
8,9,7,13,11
7,12,8,11,12
12,11,12,14,9
9,15,13,7,13
11,14,10,12,13
10,12,8,9,11
14,13,6,9,14
7,14,13,11,13
7,14,7,13,6
10,6,9,7,9
10,11,13,14,10
10,10,9,15,11
12,11,13,14,11
9,9,13,9,11
12,13,12,7,13
15,12,10,12,14
10,14,6,9,15
6,7,7,6,14
9,6,7,8,14
12,13,15,8,7
12,12,11,10,9
12,15,11,15,14
8,11,6,12,11
9,9,13,12,11
8,14,12,15,13
7,7,13,7,9
12,6,9,8,13
12,13,15,7,12
15,6,10,9,6
13,10,11,9,10
8,10,10,13,12
7,13,8,9,14
12,14,12,11,12
11,10,6,11,6
9,14,12,7,7
8,12,9,8,7
8,11,13,10,10
10,13,8,13,9
12,13,8,15,7
8,13,15,14,12
8,11,9,6,11
13,13,7,9,15
11,8,10,6,10
9,12,12,9,15
9,7,13,11,8
12,11,14,7,6
14,10,11,6,13
8,14,13,8,10
7,9,13,8,11
11,7,8,6,11
10,12,15,9,8
8,12,6,7,13
7,12,13,14,7
13,14,9,7,12
12,8,6,13,11
8,8,15,12,9
11,15,6,6,12
12,6,8,10,7
12,11,13,6,13
6,11,14,11,10
8,7,15,11,6
12,9,8,9,9
9,12,7,12,14
6,14,15,15,15
10,7,15,7,14
9,15,14,7,9
10,12,11,10,8
13,13,12,8,10
9,14,13,13,11
10,10,7,7,14
12,9,11,15,14
11,14,15,6,6
8,10,6,7,11
9,13,7,10,10
8,8,9,7,12
